Base_Aircraft_ICAO,Base_Aircraft_Name,Airframe_Internal_ID,Airframe_Name,Registration,Fin_Number,Engines,Max_Passengers,OEW_kgs,MZFW_kgs,MTOW_kgs,MLW_kgs,Max_Fuel_kgs,Default_Cruise,Default_Climb,Default_Descent,Comments
C25A,Citation CJ2,C25A,Citation CJ2,N525SB,525,FJ44-2C,8,8030,9300,12375,11500,3961,,,,Default
C25B,Citation CJ3,C25B,Citation CJ3,N253SB,253,FJ44-3A,9,8700,10510,13870,12750,4710,,,,Default
C25B,Citation CJ3,393614_1751098202127,Citation CJ3,N253SB,253,FJ44-3A,9,8700,10910,14270,13150,4710,MCR,222/56,2000FPM,LivToAir (MSFS) - Tamarack Winglets 
C25C,Citation CJ4,C25C,Citation CJ4,N254SB,254,FJ44-4A,10,10280,12500,17110,15660,5828,,,,Default
C550,Citation II,C550,Citation II,N081SB,081,JT15D-4,11,8349,11000,14100,13500,5050,,,,Default
C56X,Citation 560XL,C56X,Citation 560XL,N560SB,560,PW545A,9,12700,15000,20000,18700,6740,,,,Default
C680,Sovereign+,C680,Sovereign+,N680SB,680,PW 306D,12,18330,21000,30775,27575,11390,,,,Default
C680,Sovereign+,423152_1773260198737,Sovereign+,HB-SOV,680,PW306D,10,18691,21000,30775,27575,11390,HSC,250/64,2000FPM,Skyward Simulations (MSFS) - C680 Sovereign+
C700,Longitude,C700,Longitude,N700SB,700,HTF7700L,10,23389,26000,39500,33500,14511,,,,Default
C750,Citation X,C750,Citation X,N750SB,750,AE3007C1,12,22131,24400,36100,31800,13000,,,,Default
C750,Citation X,349674_1747991754356,Citation X,FFXC750W,,AE3007C1,9,22481,24400,36100,31800,12931,M86,250/300/80,3000FPM,FlightFX (MSFS) - Winglet [credit: Awemeter]
C750,Citation X,349674_1751497498054,Citation X,FFXC750,,AE3007C1,9,22481,24400,36100,31800,12931,M86,250/300/80,3000FPM,FlightFX (MSFS) - Non-Winglet [credit: Awemeter]
